n_steps;n_d;n_a;gamma;best_valid_acc
6.0;24.0;24.0;1.4;0.8256224691996209
6.0;24.0;24.0;1.6;0.6986732144395623
6.0;24.0;24.0;1.8;0.7648832601016627
6.0;24.0;24.0;2.0;0.8201085551822176
6.0;40.0;40.0;1.0;0.988282932713018
6.0;40.0;40.0;1.2;0.8998449211682605
6.0;40.0;40.0;1.4;0.8130438528474196
6.0;40.0;40.0;1.6;0.7885758593951926
6.0;40.0;40.0;1.8;0.8924355992073748
6.0;40.0;40.0;2.0;0.7145687946928577
6.0;56.0;56.0;1.0;0.9897906435771517
6.0;56.0;56.0;1.2;0.9574394761781684
6.0;56.0;56.0;1.4;0.89579564056173
6.0;56.0;56.0;1.6;0.8322994744550702
6.0;56.0;56.0;1.8;0.8648229516670974
6.0;56.0;56.0;2.0;0.9140604807443784
7.0;8.0;8.0;1.0;0.921642112518308
7.0;8.0;8.0;1.2;0.6540449728612044
7.0;8.0;8.0;1.4;0.6680451451710175
7.0;8.0;8.0;1.6;0.7379598518135608
7.0;8.0;8.0;1.8;0.6937623847678125
7.0;8.0;8.0;2.0;0.6435771517187904
7.0;24.0;24.0;1.0;0.9878952356336693
7.0;24.0;24.0;1.2;0.8219608856724391
7.0;24.0;24.0;1.4;0.7806926854484363
7.0;24.0;24.0;1.6;0.8080899457224089
7.0;24.0;24.0;1.8;0.8821400878780047
7.0;24.0;24.0;2.0;0.7019471008873955
7.0;40.0;40.0;1.0;0.9869906091151891
7.0;40.0;40.0;1.2;0.8650814163866632
7.0;40.0;40.0;1.4;0.7902128026191092
7.0;40.0;40.0;1.6;0.82557939174636
7.0;40.0;40.0;1.8;0.7970190402343413
7.0;40.0;40.0;2.0;0.7863789092788834
7.0;56.0;56.0;1.0;0.9886275523391057
7.0;56.0;56.0;1.2;0.8645214094942707
7.0;56.0;56.0;1.4;0.8553889894029465
7.0;56.0;56.0;1.6;0.8173085207202551
7.0;56.0;56.0;1.8;0.8546135952442492
